[1715084292.030818] [cpn3039:859288:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032456] [cpn3039:859302:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032516] [cpn3039:859304:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032626] [cpn3039:859292:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032588] [cpn3187:2974959:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032713] [cpn3187:2974946:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032740] [cpn3039:859267:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032804] [cpn3187:2974928:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032857] [cpn3187:2974945:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
[1715084292.032840] [cpn3039:859307:0]     ucp_context.c:1019 UCX  WARN  network device 'mlx5_4:1' is not available, please use one or more of: 'bond0'(tcp), 'ib0'(tcp), 'lo'(tcp), 'mlx5_0:1'(ib), 'mlx5_bond_0:1'(ib), 'vlan304'(tcp)
